날짜,가격,총반입량,평균기온,강수량,환율,경유가격
2020-12-31,2430,625,-3.5,0.566666667,1086.420044,1220
2021-01-01,2430,625,-2.8,0,1084.650024,1224
2021-01-02,2430,625,-1.15,0.1,1084.650024,1226
2021-01-03,2430,625,-0.65,0,1084.650024,1227
2021-01-04,2456,719,-0.8,0,1084.72998,1229
2021-01-05,2465,624,-0.4,0.1,1086.619995,1231
2021-01-06,2493,655,-3.95,0.433333333,1086.449951,1232
2021-01-07,2519,529,-8.05,0.8,1086.949951,1234
2021-01-08,2521,548,-9.55,0.3,1093.069946,1235
2021-01-09,2521,142,-8,0.766666667,1093.069946,1236
2021-01-10,2521,142,-5.4,0.0333333333,1093.069946,1237
2021-01-11,2541,527,-4.5,0,1092.819946,1238
2021-01-12,2547,734,-2.65,0.0666666667,1096.449951,1239
2021-01-13,2575,543,2.75,0,1093.540039,1240
2021-01-14,2748,578,2.95,0,1097.109985,1242
2021-01-15,2791,664,6.2,0,1094.900024,1244
2021-01-16,2791,592,1.7,0,1094.900024,1245
2021-01-17,2791,592,-2.4,0.166666667,1094.900024,1245
2021-01-18,2844,749,-1.7,1.933333333,1102.959961,1246
2021-01-19,2922,645,-3.35,0,1103.099976,1247
2021-01-20,2937,567,-1.8,0,1100.98999,1248
2021-01-21,3127,763,3.4,3.366666667,1096.25,1249
2021-01-22,3137,490,7.5,2.366666667,1099.900024,1249
2021-01-23,3137,598,8.95,5.033333333,1099.900024,1250
2021-01-24,3137,598,7.1,0,1099.900024,1250
2021-01-25,3163,634,6.3,0,1104.640015,1250
2021-01-26,3163,636,5.05,10,1101.72998,1250
2021-01-27,3163,501,4.65,0,1101,1251
2021-01-28,3242,628,0.65,0.333333333,1107.5,1251
2021-01-29,3313,651,-3.6,0.2,1112.290039,1251
2021-01-30,3313,335,0,0,1112.290039,1251
2021-01-31,3313,335,2.6,1,1112.290039,1251
2021-02-01,3320,666,7.35,12.23333333,1117.430054,1252
2021-02-02,3311,810,-0.25,0,1116.880005,1252
2021-02-03,3313,722,-1.05,0,1113.609985,1252
2021-02-04,3313,685,1.45,1.133333333,1113.150024,1252
2021-02-05,3315,724,0.8,0,1119.130005,1253
2021-02-06,3315,620,4,0,1119.130005,1253
2021-02-07,3315,620,6.7,0,1119.130005,1253
2021-02-08,3341,835,0.95,0,1116.849976,1254
2021-02-09,3336,816,0.65,0,1116.329956,1255
2021-02-10,3343,541,2.35,0,1110,1257
2021-02-11,3343,541,4.1,0,1103.97998,1258
2021-02-12,3343,541,5.4,0,1102.219971,1259
2021-02-13,3343,541,6.6,0,1102.219971,1259
2021-02-14,3343,541,7.85,2.233333333,1102.219971,1259
2021-02-15,3349,558,5.15,0.266666667,1103.369995,1261
2021-02-16,3343,596,0.1,0.6,1102.23999,1263
