날짜,경유가격
2020-12-31,1220
2021-01-01,1224
2021-01-02,1226
2021-01-03,1227
2021-01-04,1229
2021-01-05,1231
2021-01-06,1232
2021-01-07,1234
2021-01-08,1235
2021-01-09,1236
2021-01-10,1237
2021-01-11,1238
2021-01-12,1239
2021-01-13,1240
2021-01-14,1242
2021-01-15,1244
2021-01-16,1245
2021-01-17,1245
2021-01-18,1246
2021-01-19,1247
2021-01-20,1248
2021-01-21,1249
2021-01-22,1249
2021-01-23,1250
2021-01-24,1250
2021-01-25,1250
2021-01-26,1250
2021-01-27,1251
2021-01-28,1251
2021-01-29,1251
2021-01-30,1251
2021-01-31,1251
2021-02-01,1252
2021-02-02,1252
2021-02-03,1252
2021-02-04,1252
2021-02-05,1253
2021-02-06,1253
2021-02-07,1253
2021-02-08,1254
2021-02-09,1255
2021-02-10,1257
2021-02-11,1258
2021-02-12,1259
2021-02-13,1259
2021-02-14,1259
2021-02-15,1261
2021-02-16,1263
2021-02-17,1264
2021-02-18,1266
2021-02-19,1268
2021-02-20,1269
2021-02-21,1270
2021-02-22,1271
2021-02-23,1273
2021-02-24,1274
2021-02-25,1276
2021-02-26,1277
2021-02-27,1279
2021-02-28,1279
2021-03-01,1281
2021-03-02,1283
2021-03-03,1284
2021-03-04,1285
2021-03-05,1287
2021-03-06,1290
2021-03-07,1292
2021-03-08,1295
2021-03-09,1298
2021-03-10,1301
2021-03-11,1304
2021-03-12,1306
2021-03-13,1309
2021-03-14,1311
2021-03-15,1313
2021-03-16,1317
2021-03-17,1319
2021-03-18,1322
2021-03-19,1324
2021-03-20,1325
2021-03-21,1326
2021-03-22,1327
2021-03-23,1329
2021-03-24,1330
2021-03-25,1330
2021-03-26,1331
2021-03-27,1331
2021-03-28,1331
2021-03-29,1331
2021-03-30,1332
2021-03-31,1332
2021-04-01,1333
2021-04-02,1333
2021-04-03,1333
2021-04-04,1333
2021-04-05,1333
2021-04-06,1333
2021-04-07,1333
2021-04-08,1333
2021-04-09,1333
2021-04-10,1333
2021-04-11,1333
2021-04-12,1333
2021-04-13,1333
2021-04-14,1333
2021-04-15,1332
2021-04-16,1332
2021-04-17,1332
2021-04-18,1332
2021-04-19,1332
2021-04-20,1332
2021-04-21,1332
2021-04-22,1332
2021-04-23,1332
2021-04-24,1332
2021-04-25,1331
2021-04-26,1332
2021-04-27,1332
2021-04-28,1331
2021-04-29,1331
2021-04-30,1331
2021-05-01,1331
2021-05-02,1332
2021-05-03,1332
2021-05-04,1332
2021-05-05,1332
2021-05-06,1332
2021-05-07,1332
2021-05-08,1332
2021-05-09,1332
2021-05-10,1333
2021-05-11,1334
2021-05-12,1335
2021-05-13,1336
2021-05-14,1337
2021-05-15,1337
