날짜,가격,총반입량,평균기온,강수량,환율,경유가격
2020-12-31,6072,62,-6.433333333,0.5,1086.420044,1220
2021-01-01,6072,62,-2.866666667,0.2,1084.650024,1224
2021-01-02,6072,62,-1.9,0.0333333333,1084.650024,1226
2021-01-03,6072,62,-3.1,0,1084.650024,1227
2021-01-04,5958,262,-2.033333333,0,1084.72998,1229
2021-01-05,5958,188,-2.033333333,0.0666666667,1086.619995,1231
2021-01-06,5931,226,-4.733333333,0.6,1086.449951,1232
2021-01-07,5979,144,-10.86666667,1.9,1086.949951,1234
2021-01-08,5979,94,-13.13333333,0.2,1093.069946,1235
2021-01-09,5979,61,-10.33333333,0.0333333333,1093.069946,1236
2021-01-10,5979,61,-7.5,0,1093.069946,1237
2021-01-11,5979,161,-5.733333333,0,1092.819946,1238
2021-01-12,6035,186,-3.8,0.966666667,1096.449951,1239
2021-01-13,6042,216,2.866666667,0,1093.540039,1240
2021-01-14,6114,184,2.833333333,0,1097.109985,1242
2021-01-15,6122,178,5.7,0,1094.900024,1244
2021-01-16,6122,166,-1.2,0,1094.900024,1245
2021-01-17,6122,166,-3.166666667,0.166666667,1094.900024,1245
2021-01-18,6148,252,-0.8,2.1,1102.959961,1246
2021-01-19,6156,194,-4.7,0,1103.099976,1247
2021-01-20,6213,213,0.566666667,0,1100.98999,1248
2021-01-21,6369,126,5.633333333,6.033333333,1096.25,1249
2021-01-22,6389,147,6.833333333,1.9,1099.900024,1249
2021-01-23,6389,102,8.166666667,4.633333333,1099.900024,1250
2021-01-24,6389,102,6.966666667,0,1099.900024,1250
2021-01-25,6484,232,6.033333333,0,1104.640015,1250
2021-01-26,6531,181,5.033333333,5.5,1101.72998,1250
2021-01-27,6531,176,3.133333333,0,1101,1251
2021-01-28,6522,145,-1.166666667,1.366666667,1107.5,1251
2021-01-29,6522,155,-5,0.0666666667,1112.290039,1251
2021-01-30,6522,141,-0.0666666667,0.1,1112.290039,1251
2021-01-31,6522,141,4.066666667,1.033333333,1112.290039,1251
2021-02-01,6526,157,6.7,7.733333333,1117.430054,1252
2021-02-02,6460,136,-2.433333333,0.2,1116.880005,1252
2021-02-03,6460,166,-1.566666667,1.166666667,1113.609985,1252
2021-02-04,6462,139,-0.566666667,1.1,1113.150024,1252
2021-02-05,6441,166,0.633333333,0,1119.130005,1253
2021-02-06,6441,125,5.466666667,0,1119.130005,1253
2021-02-07,6441,125,5.233333333,0,1119.130005,1253
2021-02-08,6453,206,-0.966666667,0,1116.849976,1254
2021-02-09,6381,171,-0.5,0,1116.329956,1255
2021-02-10,6362,129,1.4,0,1110,1257
2021-02-11,6362,0,3.833333333,0,1103.97998,1258
2021-02-12,6362,0,5.266666667,0,1102.219971,1259
2021-02-13,6362,0,5.733333333,0,1102.219971,1259
2021-02-14,6362,0,8.4,0.266666667,1102.219971,1259
2021-02-15,6438,143,2.633333333,0.3,1103.369995,1261
2021-02-16,6438,72,-1.666666667,1.966666667,1102.23999,1263
2021-02-17,6405,176,-5.633333333,1.1,1106.459961,1264
2021-02-18,6335,112,-3.4,0,1104.550049,1266
2021-02-19,6335,126,2.466666667,0,1106.219971,1268
2021-02-20,6335,131,8.833333333,0,1106.219971,1269
2021-02-21,6335,131,12.23333333,0,1106.219971,1270
2021-02-22,6373,166,8.666666667,0,1103.939941,1271
2021-02-23,6403,122,1.9,0,1110.670044,1273
2021-02-24,6447,192,3,0,1109.310059,1274
2021-02-25,6584,144,4.566666667,4.6,1107.209961,1276
2021-02-26,6642,152,8.366666667,0.7,1119.130005,1277
2021-02-27,6642,103,8.466666667,0.0333333333,1119.130005,1279
2021-02-28,6642,103,7.733333333,0,1119.130005,1279
2021-03-01,6642,174,8.466666667,51.26666667,1123.369995,1281
2021-03-02,6608,130,3,0.3,1101.829956,1283
2021-03-03,6628,148,3.633333333,0,1124.329956,1284
2021-03-04,6677,136,6.2,4.8,1129.5,1285
2021-03-05,6677,139,8.333333333,0.0333333333,1133.349976,1287
2021-03-06,6677,93,6.7,0,1133.349976,1290
2021-03-07,6677,93,6.633333333,0,1133.349976,1292
2021-03-08,6677,142,6.3,0,1127.48999,1295
2021-03-09,6713,138,6.133333333,0,1140.22998,1298
2021-03-10,6721,160,7.666666667,0,1134.910034,1301
2021-03-11,6350,149,9.533333333,2.2,1136.01001,1304
