날짜,가격,총반입량,평균기온,강수량,환율,경유가격
2020-12-31,2921,100,-4.4,0.15,1086.420044,1220
2021-01-01,2921,100,-1.3,0,1084.650024,1224
2021-01-02,2921,100,-0.7,0,1084.650024,1226
2021-01-03,2921,100,-1.3,0,1084.650024,1227
2021-01-04,2936,297,0.45,0,1084.72998,1229
2021-01-05,2953,368,-0.65,0,1086.619995,1231
2021-01-06,2968,413,-3.4,0.1,1086.449951,1232
2021-01-07,2976,156,-9.2,0.4,1086.949951,1234
2021-01-08,2982,97,-11.25,0.2,1093.069946,1235
2021-01-09,2982,6,-8.1,0.05,1093.069946,1236
2021-01-10,2982,6,-4.7,0,1093.069946,1237
2021-01-11,3019,126,-2.6,0,1092.819946,1238
2021-01-12,3019,281,-1,0,1096.449951,1239
2021-01-13,3000,102,4.25,0,1093.540039,1240
2021-01-14,2999,303,4.55,0,1097.109985,1242
2021-01-15,2999,240,7.6,0,1094.900024,1244
2021-01-16,2999,234,1.05,0,1094.900024,1245
2021-01-17,2999,234,-2.35,0,1094.900024,1245
2021-01-18,3007,356,0,0.5,1102.959961,1246
2021-01-19,3007,250,-3.1,0,1103.099976,1247
2021-01-20,3025,307,4.55,0,1100.98999,1248
2021-01-21,3025,263,9.45,1.85,1096.25,1249
2021-01-22,3054,332,8.2,2,1099.900024,1249
2021-01-23,3054,146,5.95,11.35,1099.900024,1250
2021-01-24,3054,146,6.2,0.6,1099.900024,1250
2021-01-25,3065,219,6,0,1104.640015,1250
2021-01-26,3065,378,6.35,4.55,1101.72998,1250
2021-01-27,3057,226,4.05,0,1101,1251
2021-01-28,3134,440,0.2,0.6,1107.5,1251
2021-01-29,3246,430,-4,0.1,1112.290039,1251
2021-01-30,3246,131,1.2,0,1112.290039,1251
2021-01-31,3246,131,5.45,1.55,1112.290039,1251
2021-02-01,3300,412,8.55,8.2,1117.430054,1252
2021-02-02,3340,370,-1.15,0,1116.880005,1252
2021-02-03,3401,360,-0.6,0,1113.609985,1252
2021-02-04,3399,346,1.2,0.6,1113.150024,1252
2021-02-05,3518,293,3.1,0,1119.130005,1253
2021-02-06,3518,217,7.15,0,1119.130005,1253
2021-02-07,3518,217,6.1,0,1119.130005,1253
2021-02-08,3610,420,0.2,0,1116.849976,1254
2021-02-09,3637,256,1.45,0,1116.329956,1255
2021-02-10,3668,309,3.55,0,1110,1257
2021-02-11,3668,20,6.3,0,1103.97998,1258
2021-02-12,3668,20,8.35,0,1102.219971,1259
2021-02-13,3668,20,7.6,0,1102.219971,1259
2021-02-14,3668,20,9.2,0,1102.219971,1259
2021-02-15,3704,226,4.2,0.1,1103.369995,1261
2021-02-16,3704,219,-0.45,0.6,1102.23999,1263
2021-02-17,3704,208,-4.9,0.8,1106.459961,1264
2021-02-18,3756,121,-2.4,0,1104.550049,1266
2021-02-19,3826,161,5.3,0,1106.219971,1268
2021-02-20,3826,208,11.8,0,1106.219971,1269
2021-02-21,3826,208,12.3,0,1106.219971,1270
2021-02-22,4172,447,7.95,0,1103.939941,1271
2021-02-23,4331,290,2.8,0,1110.670044,1273
2021-02-24,4449,375,3.2,0,1109.310059,1274
2021-02-25,4496,327,6,5.2,1107.209961,1276
2021-02-26,4461,268,7.6,1.05,1119.130005,1277
