날짜,평균기온
2020-12-31,-4.4
2021-01-01,-1.3
2021-01-02,-0.7
2021-01-03,-1.3
2021-01-04,0.45
2021-01-05,-0.65
2021-01-06,-3.4
2021-01-07,-9.2
2021-01-08,-11.25
2021-01-09,-8.1
2021-01-10,-4.7
2021-01-11,-2.6
2021-01-12,-1.0
2021-01-13,4.25
2021-01-14,4.55
2021-01-15,7.6
2021-01-16,1.05
2021-01-17,-2.35
2021-01-18,0.0
2021-01-19,-3.1
2021-01-20,4.55
2021-01-21,9.45
2021-01-22,8.2
2021-01-23,5.95
2021-01-24,6.2
2021-01-25,6.0
2021-01-26,6.35
2021-01-27,4.05
2021-01-28,0.2
2021-01-29,-4.0
2021-01-30,1.2
2021-01-31,5.45
2021-02-01,8.55
2021-02-02,-1.15
2021-02-03,-0.6
2021-02-04,1.2
2021-02-05,3.1
2021-02-06,7.15
2021-02-07,6.1
2021-02-08,0.2
2021-02-09,1.45
2021-02-10,3.55
2021-02-11,6.3
2021-02-12,8.35
2021-02-13,7.6
2021-02-14,9.2
2021-02-15,4.2
2021-02-16,-0.45
2021-02-17,-4.9
2021-02-18,-2.4
2021-02-19,5.3
2021-02-20,11.8
2021-02-21,12.3
2021-02-22,7.95
2021-02-23,2.8
2021-02-24,3.2
2021-02-25,6.0
2021-02-26,7.6
2021-02-27,6.6
2021-02-28,8.8
2021-03-01,7.85
2021-03-02,2.0
2021-03-03,4.25
2021-03-04,7.9
2021-03-05,10.25
2021-03-06,5.0
2021-03-07,5.7
2021-03-08,5.95
2021-03-09,8.15
2021-03-10,8.55
2021-03-11,11.8
2021-03-12,8.75
2021-03-13,7.4
2021-03-14,8.7
2021-03-15,12.15
2021-03-16,10.65
2021-03-17,8.1
2021-03-18,8.9
2021-03-19,10.75
2021-03-20,8.9
2021-03-21,7.5
2021-03-22,7.55
2021-03-23,10.2
2021-03-24,12.0
2021-03-25,13.3
2021-03-26,13.4
2021-03-27,12.6
2021-03-28,12.55
2021-03-29,13.5
2021-03-30,11.7
2021-03-31,12.8
2021-04-01,13.55
2021-04-02,14.95
2021-04-03,12.95
2021-04-04,8.85
2021-04-05,9.3
2021-04-06,13.05
2021-04-07,13.65
2021-04-08,11.5
2021-04-09,10.75
2021-04-10,11.25
2021-04-11,14.0
2021-04-12,14.35
2021-04-13,12.0
2021-04-14,10.3
2021-04-15,11.15
2021-04-16,13.85
2021-04-17,11.45
2021-04-18,11.4
2021-04-19,14.35
2021-04-20,15.25
2021-04-21,16.3
2021-04-22,17.2
2021-04-23,16.4
2021-04-24,15.5
2021-04-25,13.65
2021-04-26,14.0
2021-04-27,16.85
2021-04-28,17.65
2021-04-29,14.7
2021-04-30,12.85
2021-05-01,10.7
2021-05-02,12.6
2021-05-03,15.95
2021-05-04,18.4
2021-05-05,15.6
2021-05-06,17.1
2021-05-07,17.1
2021-05-08,16.65
2021-05-09,17.4
2021-05-10,17.2
2021-05-11,16.9
2021-05-12,17.9
2021-05-13,17.9
2021-05-14,19.45
2021-05-15,19.2
2021-05-16,17.0
2021-05-17,13.85
2021-05-18,16.85
2021-05-19,21.7
2021-05-20,17.3
2021-05-21,15.85
2021-05-22,20.7
2021-05-23,22.65
2021-05-24,20.25
2021-05-25,16.45
2021-05-26,18.95
2021-05-27,17.05
2021-05-28,16.75
2021-05-29,17.45
2021-05-30,19.65
2021-05-31,19.45
2021-06-01,20.9
2021-06-02,21.65
2021-06-03,19.65
2021-06-04,20.15
2021-06-05,21.8
2021-06-06,23.55
2021-06-07,23.55
2021-06-08,23.1
2021-06-09,23.3
2021-06-10,21.25
2021-06-11,24.15
2021-06-12,24.2
2021-06-13,22.35
2021-06-14,22.05
2021-06-15,21.1
2021-06-16,21.55
2021-06-17,20.55
2021-06-18,22.7
2021-06-19,22.45
2021-06-20,23.15
2021-06-21,21.55
2021-06-22,20.6
2021-06-23,20.65
2021-06-24,22.0
2021-06-25,23.4
2021-06-26,22.8
2021-06-27,23.4
2021-06-28,22.7
2021-06-29,22.65
2021-06-30,22.95
2021-07-01,24.4
2021-07-02,23.85
2021-07-03,22.85
2021-07-04,22.35
2021-07-05,23.2
2021-07-06,25.05
2021-07-07,25.45
2021-07-08,25.35
2021-07-09,25.35
2021-07-10,24.75
2021-07-11,27.25
2021-07-12,28.4
2021-07-13,27.55
2021-07-14,27.15
2021-07-15,27.7
2021-07-16,26.85
2021-07-17,25.6
2021-07-18,26.55
2021-07-19,27.35
2021-07-20,27.65
2021-07-21,27.75
2021-07-22,27.65
2021-07-23,27.9
2021-07-24,28.0
2021-07-25,27.55
2021-07-26,27.8
2021-07-27,27.8
2021-07-28,27.6
2021-07-29,27.75
2021-07-30,28.35
2021-07-31,29.9
2021-08-01,28.85
2021-08-02,28.55
2021-08-03,28.0
2021-08-04,29.6
2021-08-05,30.15
2021-08-06,28.65
2021-08-07,27.65
2021-08-08,25.35
2021-08-09,25.8
2021-08-10,25.35
2021-08-11,25.9
2021-08-12,25.6
2021-08-13,25.3
2021-08-14,23.1
2021-08-15,23.9
2021-08-16,24.55
2021-08-17,23.65
2021-08-18,22.75
2021-08-19,23.1
2021-08-20,24.85
2021-08-21,24.75
2021-08-22,26.15
2021-08-23,25.25
2021-08-24,24.85
2021-08-25,24.2
2021-08-26,25.35
2021-08-27,24.9
2021-08-28,25.15
2021-08-29,25.65
2021-08-30,25.2
2021-08-31,23.6
2021-09-01,22.45
2021-09-02,21.85
2021-09-03,22.15
2021-09-04,22.0
2021-09-05,22.0
2021-09-06,22.3
2021-09-07,21.65
2021-09-08,21.5
2021-09-09,22.85
2021-09-10,22.7
2021-09-11,24.15
2021-09-12,23.15
2021-09-13,22.95
2021-09-14,22.05
2021-09-15,22.25
2021-09-16,21.05
2021-09-17,21.2
2021-09-18,21.4
