Date,Volume
2020-12-31,625.0
2021-01-01,625.0
2021-01-02,625.0
2021-01-03,625.0
2021-01-04,719.0
2021-01-05,624.0
2021-01-06,655.0
2021-01-07,529.0
2021-01-08,548.0
2021-01-09,142.0
2021-01-10,142.0
2021-01-11,527.0
2021-01-12,734.0
2021-01-13,543.0
2021-01-14,578.0
2021-01-15,664.0
2021-01-16,592.0
2021-01-17,592.0
2021-01-18,749.0
2021-01-19,645.0
2021-01-20,567.0
2021-01-21,763.0
2021-01-22,490.0
2021-01-23,598.0
2021-01-24,598.0
2021-01-25,634.0
2021-01-26,636.0
2021-01-27,501.0
2021-01-28,628.0
2021-01-29,651.0
2021-01-30,335.0
2021-01-31,335.0
2021-02-01,666.0
2021-02-02,810.0
2021-02-03,722.0
2021-02-04,685.0
2021-02-05,724.0
2021-02-06,620.0
2021-02-07,620.0
2021-02-08,835.0
2021-02-09,816.0
2021-02-10,541.0
2021-02-11,541.0
2021-02-12,541.0
2021-02-13,541.0
2021-02-14,541.0
2021-02-15,558.0
2021-02-16,596.0
2021-02-17,555.0
2021-02-18,412.0
2021-02-19,385.0
2021-02-20,487.0
2021-02-21,487.0
2021-02-22,518.0
2021-02-23,650.0
2021-02-24,472.0
2021-02-25,399.0
2021-02-26,476.0
2021-02-27,475.0
2021-02-28,475.0
2021-03-01,426.0
2021-03-02,512.0
2021-03-03,553.0
2021-03-04,557.0
2021-03-05,672.0
2021-03-06,428.0
2021-03-07,428.0
2021-03-08,519.0
2021-03-09,448.0
2021-03-10,619.0
2021-03-11,495.0
2021-03-12,495.0
2021-03-13,359.0
2021-03-14,359.0
2021-03-15,601.0
2021-03-16,436.0
2021-03-17,390.0
2021-03-18,518.0
2021-03-19,583.0
2021-03-20,408.0
2021-03-21,408.0
2021-03-22,476.0
2021-03-23,467.0
2021-03-24,584.0
2021-03-25,411.0
2021-03-26,805.0
2021-03-27,603.0
2021-03-28,603.0
2021-03-29,751.0
2021-03-30,513.0
2021-03-31,571.0
