날짜,가격
2020-12-31,6072
2021-01-01,6072
2021-01-02,6072
2021-01-03,6072
2021-01-04,5958
2021-01-05,5958
2021-01-06,5931
2021-01-07,5979
2021-01-08,5979
2021-01-09,5979
2021-01-10,5979
2021-01-11,5979
2021-01-12,6035
2021-01-13,6042
2021-01-14,6114
2021-01-15,6122
2021-01-16,6122
2021-01-17,6122
2021-01-18,6148
2021-01-19,6156
2021-01-20,6213
2021-01-21,6369
2021-01-22,6389
2021-01-23,6389
2021-01-24,6389
2021-01-25,6484
2021-01-26,6531
2021-01-27,6531
2021-01-28,6522
2021-01-29,6522
2021-01-30,6522
2021-01-31,6522
2021-02-01,6526
2021-02-02,6460
2021-02-03,6460
2021-02-04,6462
2021-02-05,6441
2021-02-06,6441
2021-02-07,6441
2021-02-08,6453
2021-02-09,6381
2021-02-10,6362
2021-02-11,6362
2021-02-12,6362
2021-02-13,6362
2021-02-14,6362
2021-02-15,6438
2021-02-16,6438
2021-02-17,6405
2021-02-18,6335
2021-02-19,6335
2021-02-20,6335
2021-02-21,6335
2021-02-22,6373
2021-02-23,6403
2021-02-24,6447
2021-02-25,6584
2021-02-26,6642
2021-02-27,6642
2021-02-28,6642
2021-03-01,6642
2021-03-02,6608
2021-03-03,6628
2021-03-04,6677
2021-03-05,6677
2021-03-06,6677
2021-03-07,6677
2021-03-08,6677
2021-03-09,6713
2021-03-10,6721
2021-03-11,6350
2021-03-12,6350
2021-03-13,6350
2021-03-14,6350
2021-03-15,6322
2021-03-16,6303
2021-03-17,6389
2021-03-18,6483
2021-03-19,6539
2021-03-20,6539
2021-03-21,6539
2021-03-22,6732
2021-03-23,6712
2021-03-24,6712
2021-03-25,6692
2021-03-26,6670
2021-03-27,6670
2021-03-28,6670
2021-03-29,6687
2021-03-30,6687
2021-03-31,6694
2021-04-01,6067
2021-04-02,6315
2021-04-03,6315
2021-04-04,6315
2021-04-05,6512
2021-04-06,6505
2021-04-07,6497
2021-04-08,6915
2021-04-09,6908
2021-04-10,6908
2021-04-11,6908
2021-04-12,6893
2021-04-13,6930
2021-04-14,6957
2021-04-15,6957
2021-04-16,6957
2021-04-17,6957
2021-04-18,6957
2021-04-19,6965
2021-04-20,6972
2021-04-21,6972
2021-04-22,6936
2021-04-23,6924
2021-04-24,6924
2021-04-25,6924
2021-04-26,6931
2021-04-27,6924
2021-04-28,7005
2021-04-29,6971
2021-04-30,6929
2021-05-01,6929
2021-05-02,6929
2021-05-03,7029
2021-05-04,7061
2021-05-05,7061
2021-05-06,7061
2021-05-07,7061
2021-05-08,7061
2021-05-09,7061
2021-05-10,7076
2021-05-11,7076
2021-05-12,7076
2021-05-13,7076
2021-05-14,6933
2021-05-15,6933
2021-05-16,6933
2021-05-17,7063
2021-05-18,7071
2021-05-19,7071
2021-05-20,7071
2021-05-21,7080
2021-05-22,7080
2021-05-23,7080
2021-05-24,7095
2021-05-25,7095
2021-05-26,7095
2021-05-27,6727
2021-05-28,6507
2021-05-29,6507
2021-05-30,6507
2021-05-31,6604
2021-06-01,6612
2021-06-02,6620
2021-06-03,6766
2021-06-04,6816
2021-06-05,6816
2021-06-06,6816
2021-06-07,6967
2021-06-08,7061
2021-06-09,7108
2021-06-10,7116
2021-06-11,6763
2021-06-12,6763
2021-06-13,6763
2021-06-14,7116
2021-06-15,7123
2021-06-16,7146
2021-06-17,7180
2021-06-18,7180
2021-06-19,7180
2021-06-20,7180
2021-06-21,7190
2021-06-22,7152
2021-06-23,7152
2021-06-24,6845
2021-06-25,6485
2021-06-26,6485
2021-06-27,6485
2021-06-28,6838
2021-06-29,6849
2021-06-30,6849
2021-07-01,6849
2021-07-02,6595
2021-07-03,6595
2021-07-04,6595
2021-07-05,6998
2021-07-06,6998
2021-07-07,7083
2021-07-08,7233
2021-07-09,7113
2021-07-10,7113
2021-07-11,7113
2021-07-12,7233
2021-07-13,7214
2021-07-14,7211
2021-07-15,7151
2021-07-16,7015
2021-07-17,7015
2021-07-18,7015
2021-07-19,7056
2021-07-20,7054
2021-07-21,7046
2021-07-22,6919
2021-07-23,6972
2021-07-24,6972
2021-07-25,6972
2021-07-26,7005
2021-07-27,6857
2021-07-28,6780
2021-07-29,6733
2021-07-30,6640
2021-07-31,6640
2021-08-01,6640
2021-08-02,6575
2021-08-03,6539
2021-08-04,6607
2021-08-05,6419
2021-08-06,6449
2021-08-07,6449
2021-08-08,6449
2021-08-09,6392
2021-08-10,6388
2021-08-11,6417
2021-08-12,6318
2021-08-13,6288
2021-08-14,6288
2021-08-15,6288
2021-08-16,6288
2021-08-17,6342
2021-08-18,6268
2021-08-19,6028
2021-08-20,6011
2021-08-21,6011
2021-08-22,6011
2021-08-23,5950
2021-08-24,5940
2021-08-25,5954
2021-08-26,6048
2021-08-27,6055
2021-08-28,6055
2021-08-29,6055
2021-08-30,6208
2021-08-31,6226
2021-09-01,6226
2021-09-02,6056
2021-09-03,6083
2021-09-04,6083
2021-09-05,6083
2021-09-06,6102
2021-09-07,6063
2021-09-08,5978
2021-09-09,5957
2021-09-10,5872
2021-09-11,5872
2021-09-12,5872
2021-09-13,5726
2021-09-14,5825
2021-09-15,5840
2021-09-16,6007
2021-09-17,6065
2021-09-18,6065
2021-09-19,6065
2021-09-20,6065
2021-09-21,6065
2021-09-22,6065
2021-09-23,6035
2021-09-24,6035
2021-09-25,6035
2021-09-26,6035
2021-09-27,6059
2021-09-28,6052
2021-09-29,6040
2021-09-30,5909
2021-10-01,5519
2021-10-02,5519
2021-10-03,5519
2021-10-04,5519
2021-10-05,5501
2021-10-06,5711
2021-10-07,5675
2021-10-08,5695
2021-10-09,5695
2021-10-10,5695
2021-10-11,5695
2021-10-12,5751
2021-10-13,5590
2021-10-14,5605
2021-10-15,5287
2021-10-16,5287
2021-10-17,5287
2021-10-18,5537
2021-10-19,5530
2021-10-20,5499
2021-10-21,5723
2021-10-22,5701
2021-10-23,5701
2021-10-24,5701
2021-10-25,5701
2021-10-26,5701
2021-10-27,5693
2021-10-28,5687
2021-10-29,5716
2021-10-30,5716
2021-10-31,5716
2021-11-01,5411
2021-11-02,5391
2021-11-03,5384
2021-11-04,5277
2021-11-05,5283
2021-11-06,5283
2021-11-07,5283
2021-11-08,5451
2021-11-09,5524
2021-11-10,5477
2021-11-11,5503
2021-11-12,5503
2021-11-13,5503
