날짜,평균기온
2020.12.31,-6.5
2021.01.01,-3.15
2021.01.02,-2.95
2021.01.03,-2.55
2021.01.04,-2.4
2021.01.05,-2.25
2021.01.06,-5.6
2021.01.07,-9.8
2021.01.08,-10.9
2021.01.09,-8.95
2021.01.10,-6.45
2021.01.11,-6.05
2021.01.12,-4.25
2021.01.13,1.85
2021.01.14,2.65
2021.01.15,6.25
2021.01.16,0.7
2021.01.17,-4
2021.01.18,-2.9
2021.01.19,-4.7
2021.01.20,-2.25
2021.01.21,2.95
2021.01.22,7.3
2021.01.23,7.3
2021.01.24,6.65
2021.01.25,5.3
2021.01.26,4.75
2021.01.27,4.05
2021.01.28,-0.2
2021.01.29,-5.4
2021.01.30,-1.1
2021.01.31,2.25
2021.02.01,5.85
2021.02.02,-1.4
2021.02.03,-2.5
2021.02.04,0.65
2021.02.05,1.3
2021.02.06,3.75
2021.02.07,5.75
2021.02.08,-0.1
2021.02.09,-0.2
2021.02.10,2.2
2021.02.11,4.4
2021.02.12,5.9
2021.02.13,6.6
2021.02.14,6.85
2021.02.15,4.85
2021.02.16,-1.7
2021.02.17,-5.8
2021.02.18,-5.15
2021.02.19,2.75
2021.02.20,10.15
2021.02.21,13.05
2021.02.22,13.35
2021.02.23,4.05
2021.02.24,3.5
2021.02.25,4.4
2021.02.26,7.05
2021.02.27,5.9
2021.02.28,6.9
2021.03.01,7
2021.03.02,1.65
2021.03.03,3
2021.03.04,5.4
2021.03.05,8.75
2021.03.06,4.9
2021.03.07,4.7
2021.03.08,4.9
2021.03.09,7.3
2021.03.10,7.45
2021.03.11,8.55
2021.03.12,8.1
2021.03.13,8.8
2021.03.14,8.65
2021.03.15,10.85
2021.03.16,13.05
2021.03.17,8.75
2021.03.18,8.3
2021.03.19,9.6
2021.03.20,8.45
2021.03.21,7.9
2021.03.22,6.75
2021.03.23,10.1
2021.03.24,10.65
2021.03.25,12.2
2021.03.26,12.8
2021.03.27,11.65
2021.03.28,13.7
2021.03.29,13.35
2021.03.30,12.7
2021.03.31,11.7
2021.04.01,12.2
