날짜,평균기온
2020.12.31,-10
2021.01.01,-6.75
2021.01.02,-6.6
2021.01.03,-7.75
2021.01.04,-6.15
2021.01.05,-6.3
2021.01.06,-9.3
2021.01.07,-15.2
2021.01.08,-15.95
2021.01.09,-14.35
2021.01.10,-11.7
2021.01.11,-10.95
2021.01.12,-7.9
2021.01.13,0
2021.01.14,-1.45
2021.01.15,1.7
2021.01.16,-4.45
2021.01.17,-7.1
2021.01.18,-4.7
2021.01.19,-9.4
2021.01.20,-4.9
2021.01.21,1.65
2021.01.22,4.1
2021.01.23,5.3
2021.01.24,3.95
2021.01.25,3.45
2021.01.26,2.85
2021.01.27,0.8
2021.01.28,-3.8
2021.01.29,-9.3
2021.01.30,-4.45
2021.01.31,-0.1
2021.02.01,4.25
2021.02.02,-5.55
2021.02.03,-4.6
2021.02.04,-4.75
2021.02.05,0
2021.02.06,5.35
2021.02.07,3.65
2021.02.08,-3.25
2021.02.09,-2.3
2021.02.10,1.4
2021.02.11,2.2
2021.02.12,3.3
2021.02.13,4.1
2021.02.14,6.7
2021.02.15,1
2021.02.16,-5.35
2021.02.17,-8.7
2021.02.18,-6.65
2021.02.19,-0.55
2021.02.20,6.7
2021.02.21,8.95
2021.02.22,6.7
2021.02.23,-0.35
2021.02.24,0.65
2021.02.25,0.85
2021.02.26,4.6
2021.02.27,6.1
2021.02.28,5.05
2021.03.01,2.65
2021.03.02,0.45
2021.03.03,1.1
2021.03.04,3.7
2021.03.05,6.5
2021.03.06,3.9
2021.03.07,4.4
2021.03.08,4.65
2021.03.09,5.1
2021.03.10,6.35
2021.03.11,8.2
2021.03.12,8.05
2021.03.13,7.9
2021.03.14,7.75
2021.03.15,8.8
2021.03.16,8.45
2021.03.17,7.05
2021.03.18,9.65
2021.03.19,13.1
2021.03.20,8.35
2021.03.21,5.45
2021.03.22,5.35
2021.03.23,7.65
2021.03.24,8.6
2021.03.25,11.35
2021.03.26,10.95
2021.03.27,9.9
2021.03.28,9.4
2021.03.29,10.3
2021.03.30,9.7
2021.03.31,11.9
2021.04.01,14.75
2021.04.02,16.1
2021.04.03,12.3
2021.04.04,10
2021.04.05,10.25
2021.04.06,12.45
2021.04.07,12.3
2021.04.08,11.45
2021.04.09,11.45
2021.04.10,11.05
2021.04.11,13.05
2021.04.12,12.3
2021.04.13,10.45
2021.04.14,8
2021.04.15,10.05
2021.04.16,10.2
2021.04.17,7.15
2021.04.18,9.65
2021.04.19,12.2
2021.04.20,14.05
2021.04.21,17.7
2021.04.22,20
2021.04.23,17.2
2021.04.24,16.25
2021.04.25,15.65
2021.04.26,14.85
2021.04.27,14.5
2021.04.28,14.5
2021.04.29,12.4
2021.04.30,10.85
2021.05.01,9.75
2021.05.02,12.2
2021.05.03,13.05
2021.05.04,12.6
2021.05.05,14.1
2021.05.06,13.55
2021.05.07,13.55
2021.05.08,14
2021.05.09,14.8
2021.05.10,11.1
2021.05.11,16.9
2021.05.12,18.55
2021.05.13,20.75
2021.05.14,22.4
2021.05.15,20.7
2021.05.16,16.6
2021.05.17,14.25
2021.05.18,16.9
2021.05.19,18.7
2021.05.20,16.95
2021.05.21,15.4
2021.05.22,18.6
2021.05.23,18.8
2021.05.24,18.55
2021.05.25,14
2021.05.26,15.8
2021.05.27,15.25
2021.05.28,14.25
2021.05.29,15
2021.05.30,17.1
2021.05.31,18.7
2021.06.01,19.2
2021.06.02,22
2021.06.03,18.05
2021.06.04,18.15
2021.06.05,19.5
2021.06.06,21.2
2021.06.07,20.1
2021.06.08,21.4
2021.06.09,23.75
2021.06.10,23.45
2021.06.11,21.55
2021.06.12,23.15
2021.06.13,24.65
2021.06.14,24.1
2021.06.15,21.55
2021.06.16,22.75
2021.06.17,20.15
2021.06.18,20.65
2021.06.19,21.7
2021.06.20,22.2
2021.06.21,22.55
2021.06.22,21.05
2021.06.23,21.05
2021.06.24,22.35
2021.06.25,23.45
2021.06.26,20.7
2021.06.27,23.25
2021.06.28,23.3
2021.06.29,23.15
2021.06.30,22.45
2021.07.01,24.45
2021.07.02,24.4
2021.07.03,21.4
2021.07.04,21.35
2021.07.05,22.2
2021.07.06,24.1
2021.07.07,25.2
2021.07.08,25.5
2021.07.09,24.35
2021.07.10,24.85
2021.07.11,23.85
2021.07.12,25.85
2021.07.13,27.5
2021.07.14,28.1
2021.07.15,27.05
2021.07.16,25.9
2021.07.17,26.6
2021.07.18,27.3
2021.07.19,25.85
2021.07.20,26.55
2021.07.21,28.25
2021.07.22,28.2
2021.07.23,28.3
2021.07.24,28.8
2021.07.25,29.05
2021.07.26,28.95
2021.07.27,29.2
2021.07.28,28.15
2021.07.29,27.75
2021.07.30,28.85
2021.07.31,28.6
2021.08.01,26.45
2021.08.02,25.35
2021.08.03,26.45
2021.08.04,27.55
2021.08.05,27.85
2021.08.06,26.45
2021.08.07,26.35
2021.08.08,25.25
2021.08.09,26.4
2021.08.10,23.6
2021.08.11,25.05
2021.08.12,25.5
2021.08.13,24.95
2021.08.14,23.95
2021.08.15,24.6
2021.08.16,24.5
2021.08.17,23.95
2021.08.18,22.8
2021.08.19,23.55
2021.08.20,24.1
2021.08.21,22.7
2021.08.22,23.9
2021.08.23,20.45
2021.08.24,22.5
2021.08.25,22.75
2021.08.26,24.25
2021.08.27,21.4
2021.08.28,22.5
2021.08.29,21.75
2021.08.30,21.95
2021.08.31,19.6
2021.09.01,20.3
2021.09.02,22.2
2021.09.03,22.45
2021.09.04,20.55
2021.09.05,20.7
2021.09.06,20.8
2021.09.07,18.7
2021.09.08,21.6
2021.09.09,20.55
2021.09.10,21.65
2021.09.11,22
2021.09.12,21.6
2021.09.13,22.15
2021.09.14,21.9
2021.09.15,20.75
2021.09.16,20.6
2021.09.17,20.85
2021.09.18,21.35
2021.09.19,20.75
2021.09.20,21.85
2021.09.21,21.1
2021.09.22,19.7
2021.09.23,19.35
2021.09.24,19.75
2021.09.25,19.05
2021.09.26,20.25
2021.09.27,18.85
2021.09.28,19.8
2021.09.29,19.1
2021.09.30,19
2021.10.01,19.2
2021.10.02,19.1
2021.10.03,19.55
2021.10.04,21
2021.10.05,21.3
2021.10.06,17.45
2021.10.07,18.3
2021.10.08,18.4
2021.10.09,20.05
2021.10.10,19.65
2021.10.11,15.35
2021.10.12,16.4
2021.10.13,17.7
2021.10.14,18.3
2021.10.15,17.65
2021.10.16,10.1
2021.10.17,4.3
2021.10.18,6.5
2021.10.19,9.45
2021.10.20,6.65
2021.10.21,6.95
2021.10.22,8
2021.10.23,7.95
2021.10.24,7.65
2021.10.25,8.15
2021.10.26,9.25
2021.10.27,10.4
2021.10.28,8.85
2021.10.29,10.5
2021.10.30,10.25
2021.10.31,11.65
2021.11.01,10.5
2021.11.02,8.9
2021.11.03,9.6
2021.11.04,9.5
2021.11.05,9.05
2021.11.06,10.55
2021.11.07,11.95
2021.11.08,7.5
2021.11.09,4.55
2021.11.10,3.75
2021.11.11,4.7
2021.11.12,3.45
2021.11.13,4.3
2021.11.14,8.7
2021.11.15,6.1
2021.11.16,5.3
2021.11.17,4.55
2021.11.18,10.25
2021.11.19,11.85
2021.11.20,7.9
2021.11.21,8.55
2021.11.22,2.7
2021.11.23,-0.65
2021.11.24,2.45
2021.11.25,3.8
2021.11.26,1.6
2021.11.27,-0.2
2021.11.28,1.35
2021.11.29,3.85
2021.11.30,3.9
2021.12.01,-1.55
2021.12.02,-0.3
2021.12.03,1.3
2021.12.04,-0.45
2021.12.05,-0.15
2021.12.06,1.85
2021.12.07,3.4
2021.12.08,2.75
2021.12.09,2
2021.12.10,4.1
2021.12.11,3.85
2021.12.12,0.1
2021.12.13,-3.45
2021.12.14,1.65
2021.12.15,4.95
2021.12.16,3.2
2021.12.17,-5.3
2021.12.18,-7
2021.12.19,-1.8
2021.12.20,3.6
2021.12.21,4.1
2021.12.22,-0.35
2021.12.23,-0.8
2021.12.24,-1.15
2021.12.25,-11.05
2021.12.26,-12.45
2021.12.27,-9.75
2021.12.28,-5.75
2021.12.29,-1.2
2021.12.30,-4.1
2021.12.31,-7.4
2022.01.01,-7.5
2022.01.02,-3
2022.01.03,-4.6
2022.01.04,-3.9
2022.01.05,-5.4
2022.01.06,-4.35
2022.01.07,-5.1
2022.01.08,-3
2022.01.09,-0.55
2022.01.10,-2
2022.01.11,-7.15
2022.01.12,-9
2022.01.13,-7.95
2022.01.14,-7.7
2022.01.15,-3.7
2022.01.16,-2.35
2022.01.17,-7.25
2022.01.18,-7.25
2022.01.19,-7.85
2022.01.20,-8.15
2022.01.21,-6.95
2022.01.22,-3
2022.01.23,1.1
2022.01.24,3
2022.01.25,0.95
2022.01.26,-0.05
2022.01.27,-2.25
2022.01.28,-3.95
2022.01.29,-5.1
2022.01.30,-5.6
2022.01.31,-3.7
2022.02.01,-1.9
2022.02.02,-3.7
2022.02.03,-5.1
2022.02.04,-6.6
2022.02.05,-7.9
2022.02.06,-5.75
2022.02.07,-4.2
2022.02.08,-2.4
2022.02.09,-1.95
2022.02.10,-0.45
2022.02.11,-0.15
2022.02.12,1.75
2022.02.13,2.1
2022.02.14,0.7
2022.02.15,-4.65
2022.02.16,-7.6
2022.02.17,-7.8
2022.02.18,-3.85
2022.02.19,-2.05
2022.02.20,-5.15
2022.02.21,-4.45
2022.02.22,-5.1
2022.02.23,-6.9
2022.02.24,-4.2
2022.02.25,1.1
2022.02.26,5
2022.02.27,3.85
2022.02.28,4.4
2022.03.01,3.2
2022.03.02,2.3
2022.03.03,5.1
2022.03.04,5.6
2022.03.05,2.25
2022.03.06,1
2022.03.07,1.55
2022.03.08,4
2022.03.09,5.1
2022.03.10,7
2022.03.11,7.65
2022.03.12,11
2022.03.13,10.95
2022.03.14,7.35
2022.03.15,6.5
2022.03.16,8.55
2022.03.17,9.2
2022.03.18,5.9
2022.03.19,2.2
2022.03.20,3.3
2022.03.21,3.55
2022.03.22,5.75
2022.03.23,4.7
2022.03.24,6.6
2022.03.25,9.95
2022.03.26,10.95
2022.03.27,6.9
2022.03.28,5.9
2022.03.29,7.7
2022.03.30,8.4
2022.03.31,9.3
2022.04.01,7.65
2022.04.02,6.85
2022.04.03,8.25
2022.04.04,9.25
2022.04.05,9.35
2022.04.06,11.65
2022.04.07,10.75
2022.04.08,11.2
2022.04.09,16.1
2022.04.10,16.6
2022.04.11,18
2022.04.12,18.65
2022.04.13,10.65
2022.04.14,10.2
2022.04.15,11.05
2022.04.16,11.35
2022.04.17,12.7
2022.04.18,14.25
2022.04.19,13.9
2022.04.20,13.9
2022.04.21,14.55
2022.04.22,14.65
2022.04.23,15.3
2022.04.24,17.25
2022.04.25,18.9
2022.04.26,20.35
2022.04.27,16.2
2022.04.28,15.15
2022.04.29,10.9
2022.04.30,11.35
2022.05.01,11.85
2022.05.02,11.85
2022.05.03,12.8
2022.05.04,15.5
2022.05.05,17.05
2022.05.06,17.9
2022.05.07,17.5
2022.05.08,13
2022.05.09,15.85
2022.05.10,17.4
2022.05.11,18.75
2022.05.12,18.9
2022.05.13,16.45
2022.05.14,13.85
2022.05.15,14.35
2022.05.16,15.8
2022.05.17,18.5
2022.05.18,18.9
2022.05.19,18.9
2022.05.20,18.85
2022.05.21,19.8
2022.05.22,19.25
2022.05.23,21.35
2022.05.24,21.95
2022.05.25,19.9
2022.05.26,17.7
2022.05.27,19
2022.05.28,20.2
2022.05.29,20.9
2022.05.30,19.25
2022.05.31,18.75
2022.06.01,20.4
2022.06.02,19.8
2022.06.03,22.6
2022.06.04,22.55
2022.06.05,19.45
2022.06.06,16.8
2022.06.07,17.65
2022.06.08,19.65
2022.06.09,18.85
2022.06.10,19.85
2022.06.11,21.65
2022.06.12,22.3
2022.06.13,21.5
2022.06.14,19.45
2022.06.15,16.05
2022.06.16,19.7
2022.06.17,21.55
2022.06.18,23.2
2022.06.19,22.75
2022.06.20,24.35
2022.06.21,25.85
2022.06.22,25.45
2022.06.23,23.25
2022.06.24,23.85
2022.06.25,25.5
2022.06.26,25.25
2022.06.27,26.45
2022.06.28,26.85
2022.06.29,25.15
2022.06.30,21.75
2022.07.01,26
2022.07.02,26.95
2022.07.03,27.5
2022.07.04,27.6
2022.07.05,26.75
2022.07.06,27.4
2022.07.07,27.7
2022.07.08,25.2
2022.07.09,26.6
2022.07.10,27.6
2022.07.11,24.45
2022.07.12,25.15
2022.07.13,23.15
2022.07.14,24.85
2022.07.15,24.55
2022.07.16,23.15
2022.07.17,24
2022.07.18,24.8
2022.07.19,26
2022.07.20,25.9
2022.07.21,21.85
2022.07.22,23.9
2022.07.23,23.5
2022.07.24,23.75
2022.07.25,26.05
2022.07.26,26.75
2022.07.27,26.5
2022.07.28,27
2022.07.29,28.65
2022.07.30,28.25
2022.07.31,25.5
2022.08.01,27.1
2022.08.02,26.4
2022.08.03,26.95
2022.08.04,28.15
2022.08.05,28.1
2022.08.06,27.7
2022.08.07,27.8
2022.08.08,26.2
2022.08.09,25.05
2022.08.10,23.95
2022.08.11,24.55
2022.08.12,25.9
2022.08.13,23.75
2022.08.14,25.75
2022.08.15,27.1
2022.08.16,26.2
2022.08.17,24
2022.08.18,24.35
2022.08.19,24.65
2022.08.20,27.4
2022.08.21,26.05
2022.08.22,25.1
2022.08.23,23.65
2022.08.24,23.05
2022.08.25,20.95
2022.08.26,22.8
2022.08.27,20.25
